iter	Passed	Remaining
881	136755	18296
882	136887	18138
883	137037	17982
884	137198	17828
885	137353	17672
886	137505	17517
887	137636	17359
888	137777	17202
889	137932	17047
890	138092	16893
891	138247	16738
892	138388	16581
893	138542	16426
894	138669	16268
895	138816	16112
896	138968	15957
897	139143	15804
898	139321	15652
899	139487	15498
900	139617	15340
901	139785	15187
902	139963	15034
903	140110	14879
904	140257	14723
905	140400	14566
906	140545	14410
907	140663	14252
908	140784	14093
909	140923	13937
910	141063	13781
911	141211	13625
912	141366	13470
913	141512	13315
914	141651	13158
915	141793	13002
916	141935	12846
917	142071	12690
918	142219	12535
919	142357	12378
920	142491	12222
921	142611	12064
922	142760	11909
923	142892	11753
924	143029	11597
925	143158	11440
926	143337	11287
927	143450	11129
928	143593	10974
929	143746	10819
930	143939	10667
931	144067	10511
932	144205	10355
933	144359	10200
934	144505	10045
935	144670	9891
936	144822	9737
937	144946	9580
938	145112	9426
939	145269	9272
940	145406	9116
941	145575	8963
942	145740	8809
943	145902	8655
944	146046	8500
945	146237	8347
946	146361	8191
947	146493	8035
948	146640	7880
949	146819	7727
950	146991	7573
951	147175	7420
952	147359	7267
953	147525	7113
954	147675	6958
955	147820	6803
956	147995	6649
957	148167	6495
958	148338	6341
959	148492	6187
960	148641	6032
961	148805	5877
962	148956	5723
963	149100	5568
964	149246	5413
965	149411	5258
966	149532	5102
967	149680	4948
968	149833	4793
969	149980	4638
970	150108	4483
971	150236	4327
972	150387	4173
973	150583	4019
974	150748	3865
975	150925	3711
976	151082	3556
977	151236	3402
978	151404	3247
979	151550	3092
980	151722	2938
981	151881	2783
982	152033	2629
983	152174	2474
984	152344	2319
985	152493	2165
986	152652	2010
987	152758	1855
988	152900	1700
989	153067	1546
990	153194	1391
991	153297	1236
992	153399	1081
993	153567	926
994	153713	772
995	153875	617
996	154034	463
997	154131	308
998	154312	154
999	154477	0
